"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2026","Indiana St.",72.2625,137,74.06,30,93.647,300,104.835,210,113.693,260,108.481,192,-3.64515,197
"2026","Iona",76.8917,39,74.2214,24,113.06,109,106.401,180,101.691,127,109.712,226,-3.31108,194
"2026","Iowa",67.3125,298,66.5026,359,128.189,19,117.896,32,93.5907,55,99.71,57,18.186,37
"2026","Iowa St.",72.9719,118,71.67,125,130.869,12,119.205,23,84.9771,14,92.2401,4,26.9648,8
"2026","IU Indy",85.2969,1,77.3843,1,106.508,175,103.623,232,118.959,300,116.458,356,-12.8353,319
"2026","Jackson St.",73.6792,101,72.025,109,79.3871,363,100.033,313,128.832,354,110.056,243,-10.0234,291
"2026","Jacksonville",69.675,216,69.0399,284,96.7892,278,100.953,289,113.64,258,107.646,175,-6.69342,245
"2026","Jacksonville St.",66.7625,313,68.8862,295,110.841,127,104.921,208,100.356,116,105.336,130,-0.415528,147
"2026","James Madison",72.0375,146,69.4415,266,106.278,177,107.69,146,112.699,252,111.223,280,-3.53296,196
"2026","Kansas",69.3344,231,70.2013,211,116.425,79,115.5,55,86.7932,18,94.6059,11,20.8942,26
"2026","Kansas City",75.5,56,71.4674,131,97.9158,265,100.261,305,121.719,326,113.892,326,-13.6309,327
"2026","Kansas St.",76.1719,44,73.819,39,123.034,40,115.673,54,103.175,141,103.121,95,12.5517,72
"2026","Kennesaw St.",80.0875,4,75.0066,11,112.995,110,109.309,114,112.492,248,109.444,213,-0.134319,145
"2026","Kent St.",73.7486,97,72.0575,108,121.819,46,113.247,74,115.769,283,110.655,260,2.59168,124
"2026","Kentucky",72.3375,133,72.5542,85,128.417,18,122.965,8,88.7589,28,94.103,10,28.8623,4
"2026","La Salle",67.4938,288,67.8762,332,107.896,157,105.578,198,109.116,201,110.566,258,-4.9879,216
"2026","Lafayette",70.4156,191,70.2756,208,96.6366,281,100.403,301,127.784,348,114.887,345,-14.4833,338
"2026","Lamar",68.2625,263,69.1879,277,105.229,195,102.982,244,106.268,166,107.149,160,-4.16662,207
"2026","Le Moyne",70.6219,182,70.299,203,100.207,240,101.016,288,112.541,250,114.47,340,-13.4542,325
"2026","Lehigh",67.6583,283,71.0178,160,86.3067,349,100.074,312,112.16,242,109.285,207,-9.21164,282
"2026","Liberty",65.1813,352,67.6876,339,136.822,3,115.71,52,110.085,209,105.362,131,10.3478,81
"2026","Lindenwood",75.9406,49,73.6526,48,90.4043,321,96.8301,347,117.459,288,111.248,283,-14.4181,336
"2026","Lipscomb",69.425,228,68.9285,294,97.4714,267,103.967,226,126.935,342,112.066,304,-8.09923,267
"2026","Little Rock",67.8375,275,69.0432,283,92.716,307,103.284,239,119.267,305,108.098,181,-4.81365,214
"2026","LIU",75.6562,51,73.4337,56,107.19,163,101.892,269,109.373,202,108.625,195,-6.73338,246
"2026","Long Beach St.",69.8656,206,69.4528,265,90.8885,317,102.108,263,110.934,227,109.181,205,-7.07369,251
"2026","Longwood",71.4042,159,72.275,96,108.063,156,105.59,197,108.255,188,109.757,229,-4.16656,206
"2026","Louisiana",63.2812,363,66.944,354,97.2833,268,102.278,260,110.291,217,110.274,250,-7.99585,264
"2026","Louisiana Monroe",72.7594,125,72.2576,97,93.9909,293,97.0604,344,116.191,286,115.846,352,-18.786,359
"2026","Louisiana Tech",65.5437,343,68.0288,327,89.588,326,101.997,266,98.6965,99,104.019,105,-2.02221,171
"2026","Louisville",77.9094,24,74.1667,26,132.28,9,125.82,2,91.7244,38,99.5183,52,26.3014,10
"2026","Loyola Chicago",66.13,330,68.2435,318,108.353,151,108.643,131,121.248,322,110.865,265,-2.22244,173
"2026","Loyola Marymount",67.8597,272,68.3418,314,111.413,123,107.496,149,94.5446,62,101.535,81,5.96054,108
"2026","Loyola MD",67.575,287,69.3162,268,101.865,227,101.448,279,103.693,146,111.493,288,-10.0456,292
